gene_symbol,chromosome,gene_name,gene_count
ST14,11,"Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)",1
IGHMBP2,11,"Immunoglobulin mu binding protein 2",1
VDR,12,"Vitamin D (1,25- dihydroxyvitamin D3) receptor",39
KRAS,12,"v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog",38
MDM2,12,"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)",28
IFNG,12,"Interferon, gamma",24
IGF1,12,"Insulin-like growth factor 1 (somatomedin C)",19
ALDH2,12,"Aldehyde dehydrogenase 2 family (mitochondrial)",17
CDKN1B,12,"Cyclin-dependent kinase inhibitor 1B (p27, Kip1)",11
RAD52,12,"RAD52 homolog (S. cerevisiae)",7
P2RX7,12,"Purinergic receptor P2X, ligand-gated ion channel, 7",7
CDK4,12,"Cyclin-dependent kinase 4",7
PTPN11,12,"Protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)",5
CYP27B1,12,"Cytochrome P450, family 27, subfamily B, polypeptide 1",2
RECQL,12,"RecQ protein-like (DNA helicase Q1-like)",2
TXNRD1,12,"Thioredoxin reductase 1",2
GNB3,12,"Guanine nucleotide binding protein (G protein), beta polypeptide 3",2
SSPN,12,"Sarcospan (Kras oncogene-associated gene)",2
TDG,12,"Thymine-DNA glycosylase",1
APAF1,12,"Apoptotic peptidase activating factor",1
MGST1,12,"Microsomal glutathione S-transferase 1",1
IRAK4,12,"Interleukin-1 receptor-associated kinase 4",1
ATP2A2,12,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",1
BHLHB3,12,"Basic helix-loop-helix domain containing, class B, 3",1
TEL,12,"ets variant gene 6 (TEL oncogene)",1
LRP1,12,"Low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)",1
SUOX,12,"Sulfite oxidase",1
LRMP,12,"Lymphoid-restricted membrane protein",1
TNFRSF1A,12,"Tumor necrosis factor receptor superfamily, member 1A",1
DDIT3,12,"DNA-damage-inducible transcript 3",1
NOS1,12,"Nitric oxide synthase 1 (neuronal)",1
CASC1,12,"Cancer susceptibility candidate 1",1
KLRC4,12,"Killer cell lectin-like receptor subfamily C, member 4",1
RASSF8,12,"Ras association (RalGDS/AF-6) domain family 8",1
CCND2,12,"Cyclin D2",1
CDK2,12,"Cyclin-dependent kinase 2",1
BRCA2,13,"Breast cancer 2, early onset",58
ERCC5,13,"Excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",30
FLT3,13,"Fms-related tyrosine kinase 3",19
RB1,13,"Retinoblastoma 1 (including osteosarcoma)",13
LIG4,13,"Ligase IV, DNA, ATP-dependent",12
ARL11,13,"ADP-ribosylation factor-like 11",8
IRS2,13,"Insulin receptor substrate 2",6
PARP4,13,"Poly (ADP-ribose) polymerase family, member 4",5
SLC10A2,13,"Solute carrier family 10 (sodium/bile acid cotransporter family), member 2",2
EDNRB,13,"Endothelin receptor type B",1
CDX2,13,"Caudal type homeo box transcription factor 2",1
POSTN,13,"Periostin, osteoblast specific factor",1
XRCC3,14,"X-ray repair complementing defective repair in Chinese hamster cells 3",63
APEX1,14,"APEX nuclease (multifunctional DNA repair enzyme) 1",25
ESR2,14,"Estrogen receptor 2 (ER beta)",17
HIF1A,14,"Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",8
NFKBIA,14,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",7
MTHFD1,14,"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",7
RNASE1,14,"Ribonuclease, RNase A family, 1 (pancreatic)",5
MLH3,14,"MutL homolog 3 (E. coli)",4
RGS6,14,"Regulator of G-protein signalling 6",2
MTA1,14,"Metastasis associated 1",2
GSTZ1,14,"Glutathione transferase zeta 1 (maleylacetoacetate isomerase)",1
RAGE,14,"Renal tumor antigen",1
SEL1L,14,"Sel-1 suppressor of lin-12-like (C. elegans)",1
SSTR1,14,"Somatostatin receptor 1",1
GTF2A1,14,"General transcription factor IIA, 1, 19/37kDa",1
TSHR,14,"Thyroid stimulating hormone receptor",1
LGALS3,14,"Lectin, galactoside-binding, soluble, 3",1
SERPINA1,14,"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",1
IGHV@,14,"immunoglobulin heavy variable group",1
CERD4,14,"D4, zinc and double PHD fingers, family 3",1
CMA1,14,"Chymase 1, mast cell",1
GPX2,14,"Glutathione peroxidase 2 (gastrointestinal)",1
IGH@,14,"immunoglobulin heavy locus",1
CYP1A1,15,"Cytochrome P450, family 1, subfamily A, polypeptide 1",116
CYP1A2,15,"Cytochrome P450, family 1, subfamily A, polypeptide 2",41
CYP19A1,15,"Cytochrome P450, family 19, subfamily A, polypeptide 1",39
RAD51,15,"RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)",25
CYP11A1,15,"Cytochrome P450, family 11, subfamily A, polypeptide 1",14
BLM,15,"Bloom syndrome",3
OCA2,15,"Oculocutaneous albinism II (pink-eye dilution homolog, mouse)",2
IGF1R,15,"Insulin-like growth factor 1 receptor",2
BUB1B,15,"BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)",2
AKAP13,15,"A kinase (PRKA) anchor protein 13",2
PML,15,"Promyelocytic leukemia",1
MTHFS,15,"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)",1
THBS1,15,"Thrombospondin 1",1
TP53BP1,15,"Tumor protein p53 binding protein, 1",1
